Pos,Name,GP,Team,Stat,League,Statname,ABBR,CREST
4,Volland,11,Bayer 04 Leverkusen,6,Bundesliga,Goals,,https://upload.wikimedia.org/wikipedia/en/5/59/Bayer_04_Leverkusen_logo.svg
5,Philipp,9,Borussia Dortmund,5,Bundesliga,Goals,BVB,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg
6,Uth,10,TSG 1899 Hoffenheim,5,Bundesliga,Goals,TSG,https://upload.wikimedia.org/wikipedia/commons/e/e7/Logo_TSG_Hoffenheim.svg
7,Gregoritsch,10,FC Augsburg,5,Bundesliga,Goals,FCA,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
8,Finnbogason,10,FC Augsburg,5,Bundesliga,Goals,FCA,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
9,Harnik,11,Hannover 96,5,Bundesliga,Goals,H96,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg
10,Haller,11,Eintracht Frankfurt,5,Bundesliga,Goals,SGE,http://upload.wikimedia.org/wikipedia/commons/0/04/Eintracht_Frankfurt_Logo.svg
1,Max,11,FC Augsburg,5,Bundesliga,Assists,FCA,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
2,Müller,9,FC Bayern München,4,Bundesliga,Assists,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
3,Öztunali,11,1. FSV Mainz 05,4,Bundesliga,Assists,M05,http://upload.wikimedia.org/wikipedia/de/0/0b/FSV_Mainz_05_Logo.svg
4,Kimmich,11,FC Bayern München,4,Bundesliga,Assists,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
5,Didavi,11,VfL Wolfsburg,4,Bundesliga,Assists,WOB,https://upload.wikimedia.org/wikipedia/commons/f/f3/Logo-VfL-Wolfsburg.svg
6,Jesus,6,Hannover 96,3,Bundesliga,Assists,H96,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg
7,Rodríguez,6,FC Bayern München,3,Bundesliga,Assists,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
8,Dahoud,6,Borussia Dortmund,3,Bundesliga,Assists,BVB,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg
9,Havertz,8,Bayer 04 Leverkusen,3,Bundesliga,Assists,,https://upload.wikimedia.org/wikipedia/en/5/59/Bayer_04_Leverkusen_logo.svg
10,Ibisevic,9,Hertha BSC,3,Bundesliga,Assists,BSC,https://upload.wikimedia.org/wikipedia/commons/8/81/Hertha_BSC_Logo_2012.svg
1,Max,11,FC Augsburg,31,Bundesliga,Ch. Created,FCA,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
2,Kimmich,11,FC Bayern München,30,Bundesliga,Ch. Created,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
3,Castro,10,Borussia Dortmund,29,Bundesliga,Ch. Created,BVB,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg
4,Oczipka,10,FC Schalke 04,26,Bundesliga,Ch. Created,S04,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg
5,Willems,10,Eintracht Frankfurt,22,Bundesliga,Ch. Created,SGE,http://upload.wikimedia.org/wikipedia/commons/0/04/Eintracht_Frankfurt_Logo.svg
6,Forsberg,9,RB Leipzig,21,Bundesliga,Ch. Created,,http://vignette2.wikia.nocookie.net/logopedia/images/5/5d/RB_Leipzig_logo_%282010-2014%29.svg/revision/latest?cb=20140624200003
7,Weiser,11,Hertha BSC,20,Bundesliga,Ch. Created,BSC,https://upload.wikimedia.org/wikipedia/commons/8/81/Hertha_BSC_Logo_2012.svg
8,Schwegler,10,Hannover 96,19,Bundesliga,Ch. Created,H96,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg
9,Stindl,11,Borussia Mönchengladbach,19,Bundesliga,Ch. Created,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/1200px-Borussia_M%C3%B6nchengladbach_logo.svg.png
10,Bailey,9,Bayer 04 Leverkusen,18,Bundesliga,Ch. Created,,https://upload.wikimedia.org/wikipedia/en/5/59/Bayer_04_Leverkusen_logo.svg
1,Immobile,11,Lazio,14,Serie A,Goals,LAZ,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png
2,Icardi,12,Internazionale,11,Serie A,Goals,Int,https://upload.wikimedia.org/wikipedia/it/7/7e/Logo_FC_Internazionale_Milano_2014.png
3,Dybala,12,Juventus,11,Serie A,Goals,JUVE,http://upload.wikimedia.org/wikipedia/de/d/d2/Juventus_Turin.svg
4,Mertens,12,Napoli,10,Serie A,Goals,SSC,http://upload.wikimedia.org/wikipedia/commons/2/28/S.S.C._Napoli_logo.svg
5,Quagliarella,11,Sampdoria,7,Serie A,Goals,,https://upload.wikimedia.org/wikipedia/en/f/f7/Sampdoria_badge.png
6,Dzeko,11,Roma,7,Serie A,Goals,ROM,http://upload.wikimedia.org/wikipedia/de/3/32/AS_Rom.svg
7,Higuaín,12,Juventus,7,Serie A,Goals,JUVE,http://upload.wikimedia.org/wikipedia/de/d/d2/Juventus_Turin.svg
8,Théréau,10,Fiorentina,6,Serie A,Goals,FIO,https://upload.wikimedia.org/wikipedia/en/b/ba/ACF_Fiorentina_2.svg
9,Suso,11,Milan,5,Serie A,Goals,Int,https://upload.wikimedia.org/wikipedia/commons/d/db/AC_Milan.svg
10,Falque,12,Torino,5,Serie A,Goals,FCT,http://upload.wikimedia.org/wikipedia/de/2/2e/Torino_FC_Logo.svg
1,Immobile,11,Lazio,6,Serie A,Assists,LAZ,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png
2,Pjanic,9,Juventus,5,Serie A,Assists,JUVE,http://upload.wikimedia.org/wikipedia/de/d/d2/Juventus_Turin.svg
3,Luis Alberto,11,Lazio,5,Serie A,Assists,LAZ,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png
